Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Compass
311,2024-04-28 00:45:13.364635,15.649980382882978,143.55830577406448,33.5,30.1,992.8,353.2
312,2024-04-28 00:45:13.389045,15.648693018316614,143.55931656934652,33.5,30.1,992.8,353.2
312,2024-04-28 00:45:14.427383,15.597825161697726,143.5992414609294,32.6,30.0,992.8,353.2
313,2024-04-28 00:45:14.464040,15.595965310839919,143.60070066319454,32.8,30.3,992.8,353.2
313,2024-04-28 00:45:15.485975,15.54433821900886,143.64119088773643,32.9,29.8,992.8,353.2
314,2024-04-28 00:45:15.506638,15.543299246241018,143.6420054317469,32.9,29.8,992.8,353.2
314,2024-04-28 00:45:16.527587,15.492436729898202,143.6818664933815,32.9,29.9,992.8,353.2
315,2024-04-28 00:45:16.546655,15.491439296106364,143.68264789810843,32.9,29.9,992.8,353.2
315,2024-04-28 00:45:17.568759,15.440635041438075,143.72243419866362,32.8,30.1,992.8,353.2
316,2024-04-28 00:45:17.588103,15.439604261961211,143.7232411379055,32.8,30.1,992.8,353.2
316,2024-04-28 00:45:18.610302,15.388749501495715,143.7630379726363,32.9,30.1,992.8,353.2
317,2024-04-28 00:45:18.634036,15.387518850467782,143.76400067769973,32.9,30.1,992.8,353.2
317,2024-04-28 00:45:19.672091,15.336632246111582,143.80379338961552,32.9,30.1,992.8,353.2
318,2024-04-28 00:45:19.699998,15.334807186464838,143.80522003895632,32.6,30.1,992.8,353.2
318,2024-04-28 00:45:20.737271,15.283553868797387,143.84526995176083,32.6,29.8,992.8,353.2
319,2024-04-28 00:45:20.757608,15.281760618432738,143.84667070044625,32.6,29.8,992.8,353.2
319,2024-04-28 00:45:21.780098,15.230845776670659,143.8864268973607,32.5,30.0,992.8,353.2
320,2024-04-28 00:45:21.799668,15.229804142512496,143.88723995107068,32.5,30.0,992.8,353.2
320,2024-04-28 00:45:22.821044,15.178921479166577,143.92694245948854,32.7,30.1,992.8,353.2
321,2024-04-28 00:45:22.841043,15.177904684948942,143.9277355550537,32.7,30.1,992.8,353.2
321,2024-04-28 00:45:23.864697,15.12697629072352,143.9674452951697,33.4,30.2,992.8,353.2
322,2024-04-28 00:45:23.887604,15.125667572926746,143.9684653581529,33.4,30.2,992.8,353.2
322,2024-04-28 00:45:24.925423,15.07480231535415,144.00809742640897,32.6,30.2,992.8,353.2
323,2024-04-28 00:45:24.962437,15.07296941029493,144.00952503316336,32.9,29.9,992.8,353.2
323,2024-04-28 00:45:25.983700,15.021254378573438,144.0497899165015,32.8,29.9,992.8,353.2
324,2024-04-28 00:45:26.004161,15.020179895395223,144.0506261984768,32.8,29.9,992.8,353.2
324,2024-04-28 00:45:27.025796,14.96926485409051,144.090239903132,32.9,30.1,992.8,353.2
325,2024-04-28 00:45:27.045396,14.968261215320782,144.09102049391998,32.9,30.1,992.8,353.2
325,2024-04-28 00:45:28.067221,14.917317479727469,144.1306285681744,32.9,29.9,992.8,353.3
326,2024-04-28 00:45:28.086056,14.916296457368468,144.13142211995415,32.9,29.9,992.8,353.3
326,2024-04-28 00:45:29.112220,14.865393756897808,144.17097047622775,32.9,29.8,992.8,353.3
327,2024-04-28 00:45:29.137386,14.863893196734393,144.17213590946915,32.9,29.8,992.8,353.3
327,2024-04-28 00:45:30.177012,14.81290100964366,144.21172578578276,33.5,30.0,992.8,353.3
328,2024-04-28 00:45:30.209147,14.810977638152025,144.21321854289675,33.3,30.1,992.8,353.3
328,2024-04-28 00:45:31.231160,14.759442468036426,144.25320141513745,33.5,30.1,992.8,353.3
329,2024-04-28 00:45:31.248596,14.758416526264016,144.25399709815756,33.5,30.1,992.8,353.3
329,2024-04-28 00:45:32.270155,14.707557004615326,144.29342821839057,32.6,29.9,992.8,353.3
330,2024-04-28 00:45:32.288541,14.706535732968907,144.29421973089333,32.6,29.9,992.8,353.3
330,2024-04-28 00:45:33.309870,14.655645714509907,144.3336472165275,32.8,29.9,992.8,353.4
331,2024-04-28 00:45:33.327934,14.654633609086387,144.33443108356047,32.8,29.9,992.8,353.4
331,2024-04-28 00:45:34.348769,14.603748826808083,144.37382735821848,33.5,30.0,992.8,353.4
332,2024-04-28 00:45:34.371704,14.602569404931625,144.37474018148407,33.5,30.0,992.8,353.4
332,2024-04-28 00:45:35.408169,14.551591576951044,144.4141813039997,32.6,30.2,992.8,353.4
333,2024-04-28 00:45:35.438273,14.549839954144051,144.41553604880048,32.6,30.2,992.8,353.4
333,2024-04-28 00:45:36.460313,14.498325070952918,144.45536487035758,32.5,29.8,992.8,353.4
334,2024-04-28 00:45:36.479102,14.497290575868652,144.45616441596115,33.0,30.4,992.8,353.4
334,2024-04-28 00:45:37.500081,14.446340045920598,144.4955298998005,33.1,29.9,992.8,353.4
335,2024-04-28 00:45:37.519090,14.44534050571803,144.4963019037363,32.9,28.8,992.8,353.4
335,2024-04-28 00:45:38.540434,14.394365524400206,144.53565953998276,32.6,30.4,992.8,353.4
336,2024-04-28 00:45:38.558813,14.39335582594334,144.53643886112854,32.6,29.9,992.8,353.4
336,2024-04-28 00:45:39.580063,14.342410248626932,144.57574718911758,32.6,30.1,992.8,353.4
337,2024-04-28 00:45:39.601934,14.341254041442124,144.57663898780552,32.6,30.1,992.8,353.4
337,2024-04-28 00:45:40.640730,14.290244269390946,144.61597024649845,33.4,29.9,992.8,353.4
338,2024-04-28 00:45:40.676275,14.288334537449611,144.61744224795552,33.4,29.9,992.8,353.4
338,2024-04-28 00:45:41.699292,14.236535250344307,144.65735477013823,33.5,30.2,992.8,353.4
339,2024-04-28 00:45:41.718159,14.23547110708152,144.65817443743813,33.5,30.2,992.8,353.4
339,2024-04-28 00:45:42.740218,14.184448764497697,144.69746177482736,32.6,30.1,992.8,353.4
340,2024-04-28 00:45:42.760077,14.183410052596821,144.69826131861217,32.8,30.0,992.8,353.4
340,2024-04-28 00:45:43.781621,14.132352055277217,144.737549883019,32.5,30.0,992.8,353.5
341,2024-04-28 00:45:43.800331,14.131334532535261,144.73833259501012,33.6,30.9,992.8,353.5
341,2024-04-28 00:45:44.821676,14.080328593464547,144.7775550366909,33.4,30.0,992.8,353.5
342,2024-04-28 00:45:44.844096,14.07912853022795,144.77847755225199,33.4,31.0,992.8,353.5
342,2024-04-28 00:45:45.883412,14.028087834072581,144.81770067357834,32.6,30.2,992.8,353.5
343,2024-04-28 00:45:45.921103,14.026163052258235,144.81917930948933,32.6,30.2,992.8,353.5
343,2024-04-28 00:45:46.942612,13.974223013580849,144.85906656278644,33.3,30.0,992.8,353.5
344,2024-04-28 00:45:46.961544,13.973191639993018,144.85985833932534,33.3,30.0,992.8,353.5
344,2024-04-28 00:45:47.983184,13.922161251386116,144.89902108671404,33.1,29.9,992.8,353.5
345,2024-04-28 00:45:48.003778,13.921134569984233,144.89980874494458,33.6,29.9,992.8,353.5
345,2024-04-28 00:45:49.026070,13.86999511633898,144.93902951754117,32.9,29.8,992.8,353.5
346,2024-04-28 00:45:49.047348,13.868895996869504,144.93987219792618,33.4,30.1,992.8,353.5
346,2024-04-28 00:45:50.068794,13.817759491624681,144.979065093949,32.7,29.9,992.8,353.5
347,2024-04-28 00:45:50.091960,13.816564633545237,144.9799805782137,32.7,31.1,992.8,353.5
347,2024-04-28 00:45:51.129663,13.76543666014194,145.01914140072594,32.6,30.0,992.8,353.5
348,2024-04-28 00:45:51.160975,13.763600832408969,145.02054706716018,32.6,30.0,992.8,353.5
348,2024-04-28 00:45:52.183383,13.711914067782761,145.0601097485698,32.7,30.0,992.8,353.5
349,2024-04-28 00:45:52.202283,13.710863556141723,145.06091358107182,32.7,30.0,992.8,353.5
349,2024-04-28 00:45:53.224924,13.659757773533803,145.10000622227483,32.9,30.1,992.8,353.5
350,2024-04-28 00:45:53.243560,13.658698535771432,145.1008162107855,32.9,30.1,992.8,353.5
350,2024-04-28 00:45:54.264923,13.607621673527465,145.13986166840385,33.2,30.1,992.8,353.5
351,2024-04-28 00:45:54.284960,13.60661081302192,145.1406341688654,32.9,30.1,992.8,353.5
351,2024-04-28 00:45:55.305748,13.555468542044098,145.17970466772888,32.7,30.2,992.8,353.5
352,2024-04-28 00:45:55.329982,13.554257979496885,145.1806291897501,32.7,29.8,992.8,353.5
